total_runs,balls_faced,fours,sixes,innings_played,strike_rate,batting_average,balls_bowled,runs_conceded,wickets,matches_bowled,overs_bowled,economy_rate,bowling_average,player,batting_score,bowling_score,performance_score,auction_value_lakhs,predicted_value,value_ratio
193.0,146.0,21.0,5.0,8.0,132.1917808219178,24.125,7.0,12.0,0.0,1.0,1.1666666666666667,10.285714285714285,12.0,BJ Rohrer,290.0958904109589,79.42857142857143,369.5244618395303,20.0,257.49062786329233,1.4350986865266386
23.0,27.0,0.0,0.0,3.0,85.18518518518519,7.666666666666667,30.0,36.0,1.0,2.0,5.0,7.2,36.0,BMAJ Mendis,65.5925925925926,105.6,171.19259259259258,438.00261262005347,247.50260545205526,0.6916799614287494
40.0,36.0,7.0,0.0,3.0,111.11111111111111,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BR Dunk,102.55555555555556,100.0,202.55555555555554,323.0255407926726,380.71865866545346,0.5320347478255484
0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,497.0,22.0,17.0,65.0,7.6461538461538465,22.59090909090909,BW Hilfenhaus,0.0,524.7076923076924,524.7076923076924,721.1361578811523,878.1101186733752,0.5975420179651345
156.0,99.0,9.0,8.0,14.0,157.57575757575756,11.142857142857142,336.0,450.0,14.0,21.0,56.0,8.035714285714286,32.142857142857146,Bipul Sharma,259.78787878787875,363.92857142857144,623.7164502164502,955.8061649721024,904.7282071293288,0.6893964897982797
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,1.0,1.0,13.0,13.0,C Ganapathy,0.0,74.0,74.0,20.0,242.04660375690963,0.30572624796801157
15.0,21.0,3.0,0.0,1.0,71.42857142857143,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C Madan,53.714285714285715,100.0,153.71428571428572,182.13799445706204,206.89159060564236,0.7429701964410999
30.0,31.0,3.0,0.0,3.0,96.7741935483871,10.0,12.0,15.0,0.0,2.0,2.0,7.5,15.0,C Munro,81.38709677419355,85.0,166.38709677419354,328.3171115065876,334.9253314962964,0.4967886305608791
0.0,1.0,0.0,0.0,1.0,0.0,0.0,50.0,58.0,2.0,3.0,8.333333333333334,6.959999999999999,29.0,C Nanda,0.0,126.08,126.08,514.9672649761594,240.65423727997927,0.523905173767281
21.0,26.0,2.0,0.0,3.0,80.76923076923077,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA Ingram,63.38461538461539,100.0,163.3846153846154,130.80828944655906,204.7921263143813,0.7978071145850585
89.0,85.0,6.0,4.0,5.0,104.70588235294119,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA Lynn,155.3529411764706,100.0,255.3529411764706,204.77209339277695,224.75225591899954,1.1361529615457988
390.0,403.0,50.0,4.0,22.0,96.7741935483871,17.727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA Pujara,496.38709677419354,100.0,596.3870967741935,783.9528495379982,886.8339004449981,0.6724901883824431
3451.0,2360.0,282.0,252.0,91.0,146.22881355932202,37.92307692307692,579.0,750.0,18.0,37.0,96.5,7.772020725388601,41.666666666666664,CH Gayle,4310.114406779661,444.4559585492228,4754.570365328884,7333.6841415030685,7176.348986334113,0.6625333264007909
285.0,178.0,18.0,17.0,20.0,160.1123595505618,14.25,853.0,1066.0,42.0,39.0,142.16666666666666,7.498241500586167,25.38095238095238,CH Morris,417.0561797752809,925.0035169988276,1342.0596967741085,2085.5728536375977,1972.641231996915,0.6803364316863307
379.0,284.0,32.0,21.0,15.0,133.45070422535213,25.266666666666666,138.0,221.0,5.0,11.0,23.0,9.608695652173912,44.2,CJ Anderson,519.7253521126761,180.7826086956522,700.5079608083283,933.9599863599753,935.5292276209723,0.7487825501611561
98.0,119.0,9.0,0.0,8.0,82.35294117647058,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CJ Ferguson,148.1764705882353,100.0,248.1764705882353,485.4303214259032,427.290363622747,0.5808145741553613
3.0,4.0,0.0,0.0,1.0,75.0,3.0,181.0,266.0,11.0,9.0,30.166666666666668,8.817679558011049,24.181818181818183,CJ Jordan,40.5,302.3646408839779,342.8646408839779,535.7006973097461,586.7336351873727,0.5843616597410246
8.0,15.0,0.0,0.0,1.0,53.333333333333336,8.0,42.0,60.0,1.0,2.0,7.0,8.571428571428571,60.0,CJ McKay,34.66666666666667,102.85714285714286,137.52380952380952,419.853339123937,339.6038227065661,0.4049536557856613
16.0,24.0,0.0,0.0,3.0,66.66666666666666,5.333333333333333,17.0,49.0,0.0,3.0,2.8333333333333335,17.294117647058822,49.0,CK Kapugedera,49.33333333333333,65.41176470588235,114.74509803921568,20.0,122.68970588588756,0.9352463371779448
8.0,9.0,0.0,1.0,2.0,88.88888888888889,4.0,165.0,199.0,13.0,7.0,27.5,7.236363636363636,15.307692307692308,CK Langeveldt,54.44444444444444,345.5272727272727,399.97171717171716,527.7143627309113,582.4181266132077,0.6867432500728882
971.0,774.0,76.0,38.0,45.0,125.45219638242895,21.57777777777778,46.0,86.0,1.0,6.0,7.666666666666667,11.217391304347826,86.0,CL White,1185.7260981912145,97.56521739130434,1283.2913155825188,1838.4846531092944,1865.4508810911127,0.6879255458240287
169.0,158.0,17.0,6.0,13.0,106.9620253164557,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CM Gautam,251.48101265822785,100.0,351.4810126582279,204.54456877066826,360.56874404286356,0.9747961199222656
83.0,40.0,6.0,8.0,6.0,207.50000000000003,13.833333333333334,143.0,192.0,7.0,8.0,23.833333333333332,8.055944055944057,27.428571428571427,CR Brathwaite,208.75,223.8881118881119,432.6381118881119,714.246004152197,680.5782949809486,0.6356919036041587
4.0,3.0,0.0,0.0,2.0,133.33333333333331,2.0,249.0,306.0,17.0,10.0,41.5,7.373493975903615,18.0,CRD Fernando,70.66666666666666,425.2530120481928,495.9196787148594,801.4371939761131,736.6650618988632,0.6731956005033727
3.0,8.0,0.0,0.0,1.0,37.5,3.0,50.0,88.0,2.0,3.0,8.333333333333334,10.559999999999999,44.0,D Kalyankrishna,21.75,118.88,140.63,212.07241902401498,238.7707309476509,0.5889750366046009
33.0,24.0,5.0,0.0,3.0,137.5,11.0,51.0,80.0,1.0,5.0,8.5,9.411764705882353,80.0,D Salunkhe,106.75,101.17647058823529,207.9264705882353,260.16774646255,302.55841527125756,0.6872275239867965
127.0,94.0,12.0,4.0,8.0,135.1063829787234,15.875,289.0,409.0,16.0,14.0,48.166666666666664,8.491349480968859,25.5625,D Wiese,214.5531914893617,403.01730103806227,617.570492527424,614.2936617664818,704.5084358855387,0.8765977255491098
10.0,13.0,0.0,0.0,1.0,76.92307692307693,10.0,43.0,56.0,4.0,2.0,7.166666666666667,7.813953488372093,14.0,D du Preez,48.46153846153847,164.37209302325581,212.8336314847943,226.50622890125663,303.3317134894975,0.7016530814941097
1480.0,1053.0,100.0,74.0,60.0,140.55080721747387,24.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DA Miller,1798.275403608737,100.0,1898.275403608737,2771.8511337851555,2892.759746667652,0.6562160600428284
3373.0,2440.0,338.0,134.0,100.0,138.2377049180328,33.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DA Warner,4048.1188524590166,100.0,4148.118852459016,6045.291542553033,6160.049597575775,0.6733904957667007
12.0,9.0,1.0,0.0,1.0,133.33333333333331,12.0,25.0,32.0,3.0,1.0,4.166666666666667,7.68,10.666666666666666,DAJ Bracewell,79.66666666666666,144.64,224.30666666666664,300.899596862105,309.65388921916315,0.7243786513784413
304.0,267.0,23.0,16.0,22.0,113.85767790262172,13.818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DB Das,415.92883895131087,100.0,515.9288389513108,862.978715583212,802.8003310174344,0.6426614676372205
375.0,325.0,35.0,9.0,25.0,115.38461538461537,15.0,18.0,28.0,1.0,2.0,3.0,9.333333333333334,28.0,DB Ravi Teja,485.6923076923077,101.33333333333333,587.025641025641,1296.4062426780347,1116.4559730611734,0.5257938111218976
21.0,23.0,1.0,1.0,4.0,91.30434782608695,5.25,600.0,716.0,37.0,27.0,100.0,7.16,19.35135135135135,DE Bollinger,69.65217391304347,825.6800000000001,895.3321739130436,1381.4893171392482,1329.6744518373484,0.6733469028271324
170.0,142.0,23.0,2.0,17.0,119.71830985915493,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DH Yagnik,256.85915492957747,100.0,356.85915492957747,592.0736492218996,572.596499022645,0.6232297185517098
1262.0,1032.0,102.0,48.0,81.0,122.28682170542635,15.580246913580247,2110.0,2815.0,122.0,103.0,351.6666666666667,8.004739336492891,23.07377049180328,DJ Bravo,1521.1434108527133,2523.990521327014,4045.1339321797273,6051.287003019546,5494.820725759752,0.7361721399237131
111.0,103.0,11.0,5.0,4.0,107.76699029126213,27.75,18.0,26.0,0.0,2.0,3.0,8.666666666666666,26.0,DJ Harris,185.88349514563106,82.66666666666667,268.55016181229774,20.0,150.2388996969381,1.7874875438652515
295.0,224.0,15.0,16.0,24.0,131.69642857142858,12.291666666666666,177.0,228.0,4.0,13.0,29.5,7.728813559322034,57.0,DJ Hooda,407.8482142857143,164.54237288135593,572.3905871670702,852.7400802145073,798.7910990479326,0.7165710632595859
1322.0,1101.0,90.0,60.0,61.0,120.07266121707538,21.672131147540984,323.0,485.0,8.0,26.0,53.833333333333336,9.009287925696594,60.625,DJ Hussey,1592.0363306085376,241.9814241486068,1834.0177547571443,2764.306237157507,3034.337043703497,0.6044212387555576
